,店名,星級,評論數,分類,適合人數(1、2-4、5),心情(好、普、爛)
660,傻瓜乾麵魚丸,4.3,278,麵類中港,1,2
662,林家高元牛肉麵,4.4,136,麵類中港,1,1
664,涼夏麵,4.6,116,麵類中港,2,1
665,7號雞腿排,4.7,210,麵類中港,1,1
666,林記麻醬麵,4.5,179,麵類中港,2,2
668,阿珠廚房,4.3,113,麵類中港,3,2
671,品味小廚貓耳麵專賣,4.7,206,麵類中港,2,2
674,鋤拉米鍋燒麵專賣,4.4,148,麵類中港,1,2
676,麻膳堂(誠品敦南店),4.4,439,麵類百貨美食節中港,1,1
677,朕點麻小面(台北忠孝店),4.5,457,麵類飲料中港,2,2
679,開喜鐵板料理,4.3,100,鐵板燒中港,1,1
680,大港鐵板燒,4.5,102,鐵板燒中港,1,3
681,12MINI(捷運公館店),4.7,630,火鍋飲料,1,3
682,12MINI(忠孝復興店),4.8,913,火鍋飲料,2,3
688,ISAACToast&Coffee(SOGO百貨忠孝館),4.8,82,三明治FS_SOGO88日韓,1,3
689,韓國時間,4.2,248,小吃日韓,3,1
692,新平洞,4.3,146,小吃日韓,2,3
693,孔陵一隻雞,4.7,277,小吃日韓,3,3
696,燒燒YAKIYAKI(台北大安店),4.3,141,小吃日韓,2,3
697,佐藤精肉店akiba,4.5,163,小吃日韓,1,3
700,東京純豆腐(台北信義威秀店),4.4,227,小吃日韓,2,1
701,鮮味屋韓式料理,4.3,319,小吃日韓,3,1
702,日船章魚小丸子(台北師大店),4.7,152,小吃日韓,1,1
703,Hi!Sushi海壽司(台北信通店),4.5,547,小吃日韓,2,1
704,朝鮮閣,4.4,367,小吃日韓,3,2
705,MeatLove橡木炭火韓國烤肉,4.4,759,小吃日韓,2,3
707,月島文字燒(台北忠孝店),4.5,403,小吃日韓,2,1
710,築2和風料理,4.5,332,小吃日韓,2,2
714,燒瞎關東煮,4.1,203,小吃日韓,1,2
715,章愛家丼飯炒麵燒專賣店(台北中華店),4.5,83,小吃日韓,2,1
716,福海鮮屋,4.3,110,小吃日韓,1,1
724,Woodid手作韓食,4.4,146,日韓,3,2
727,太陽蕃茄拉麵,4.6,462,日韓,2,1
733,博多拉麵(台北大安店),4.7,2037,日韓,1,1
743,小原田日式料理(大安永康店),4.4,81,日韓,2,1
753,盛。餐酒坊,4.5,92,日韓,3,1
761,一番屋,4.2,159,日韓火鍋,3,3
763,Sukiya(大安店),4.7,3040,日韓便當,2,2
764,Sukiya(忠孝復興店),4.6,1516,日韓便當,1,2
765,幸屋日式手作料理,4.4,79,日韓便當,3,2
766,日式丼飯,4.4,739,日韓便當,2,3
767,津豚咖哩飯丼炒飯,4.5,933,日韓便當,1,2
770,九湯屋(台北信義莊敬店),4.6,88,日韓麵類,1,2
773,濟州豆腐鍋之家,4.2,647,火鍋日韓,3,3
774,林家匠,4.5,191,火鍋日韓,2,2
776,赫氏韓味食坊,4,192,火鍋日韓,2,1
777,銀兔湯咖哩(台北信義店),4.7,106,早餐日韓,1,3
783,七見櫻堂(誠品敦南店),4.3,219,百貨美食節飲料日韓,2,1
784,金州韓式料理(誠品敦南店),4.1,521,百貨美食節黎巴嫩料理日韓,3,1
786,銀兔湯咖哩(台北師大本店),4.6,172,咖哩日韓,3,3
788,靚宅咖哩,4.1,102,咖哩日韓,2,2
790,呂舖食堂,4.7,108,咖哩日韓,1,1
792,黑武藏壽司(南機場店),4.6,296,東南亞日韓,3,1
793,黑武藏壽司(台北通化店),4.4,238,東南亞日韓,2,1
794,越韓小館,4.1,987,東南亞日韓,3,2
795,黑武藏壽司(台北北醫店),4.5,121,東南亞日韓,3,2
797,吉野家Yoshinoya(台北台大店),4.6,782,便當日韓,2,2
799,吉野家Yoshinoya(台北古亭店),4.7,1428,便當日韓,1,2
800,吉屋食堂(古亭店),4.2,581,便當日韓,2,1
801,RiceCafe杓文字,4.5,171,便當日韓,2,1
802,Sukiya(古亭店),4.7,7106,便當日韓,3,2
803,吉野家Yoshinoya(大安東門店),4.6,156,便當日韓,1,3
804,職人丼深夜食堂,4.6,462,便當日韓,2,3
805,EbisuKitchen,4.7,303,便當日韓,2,1
806,大戶屋(台北忠孝復興店),4.7,1051,便當日韓,3,1
807,吉野家Yoshinoya(台北南門店),4.7,186,便當日韓,2,2
809,勝博殿(光復店),4.8,221,便當日韓,2,1
810,大戶屋(微風南山店),4.6,123,便當日韓,2,1
811,吉野家Yoshinoya(台北忠孝店),4.7,593,便當日韓,3,2
812,Sukiya(國父紀念館店),4.7,7690,便當日韓,2,1
817,開丼燒肉v.s丼飯(信義A8店),4.4,142,便當日韓,2,1
818,Ha醬炙燒,4.5,108,便當日韓,3,3
819,吉野家Yoshinoya(台北市府店),4.7,2356,便當日韓,2,2
820,拼拼拌Bibimbap,4.5,299,便當日韓,2,1
821,大戶屋(台北南京復興店),4.7,984,便當日韓,1,1
823,橫濱蛋包飯,4.5,368,便當日韓,3,2
824,吉野家Yoshinoya(台北大安店),4.7,2337,便當日韓,3,2
825,彥亭食堂,4.6,174,便當日韓,1,2
827,厚道丼飯,4.5,224,便當日韓,2,2
828,大戶屋(統一時代台北店),4.6,230,便當日韓,3,1
829,CoCo壹番屋咖哩(公館台大店),4.6,133,便當咖哩日韓,2,2
830,起家雞(中正寧波店),4.7,127,炸雞日韓,3,1
831,Tripletwenty韓式炸雞專賣店,4.5,175,炸雞日韓,3,3
833,德相美式加州壽司,4.6,187,美式料理日韓,3,1
835,燒桶子韓風立燒,4.5,132,飲料日韓,3,2
836,摩斯漢堡MosBurger(敦南店),4.7,848,漢堡日韓,2,1
837,摩斯漢堡MosBurger(世貿店),4.7,452,漢堡日韓,2,2
838,摩斯漢堡MosBurger(光復店),4.7,522,漢堡日韓,1,2
839,摩斯漢堡MosBurger(台北南昌店),4.7,799,漢堡日韓,1,1
841,西羅伐韓式料理,4.4,135,麵類日韓,2,2
842,九湯屋日本拉麵(台北通化店),4.6,232,麵類日韓,1,2
845,土三寒六,4.6,177,麵類日韓,2,2
848,男子漢拉麵(中崙市場店),4.5,317,麵類日韓,2,1
849,元濱日本豚骨拉麵,4.3,120,麵類日韓,2,2
850,韓國丸子撞麵鍋,4,128,麵類日韓,3,2
851,三本拉麵(台北建國總店),4.5,113,麵類日韓,1,2
853,紅螞蟻鐵板燒,4.5,302,鐵板燒日韓,2,1
856,PizzaHut必勝客(和東外送店),4.7,403,Pizza比薩美式料理,3,1
857,瑪莉珍披薩MaryjanePizza(台北師大店),4.6,1207,Pizza比薩美式料理,2,1
858,PizzaHut必勝客(大安外送店),4.7,404,Pizza比薩美式料理,2,3
859,PizzaHut必勝客(信義外送店),4.7,341,Pizza比薩美式料理,1,3
860,PizzaHut必勝客(南昌外送店),4.6,815,Pizza比薩美式料理,3,3
861,PizzaHut必勝客(松仁外送店),4.7,291,Pizza比薩美式料理,2,2
862,PIZZAPARK,4.6,499,Pizza比薩美式料理,3,2
863,PizzaHut必勝客(光復餐廳店),4.7,529,Pizza比薩美式料理,3,1
864,PizzaHut必勝客(長安外送店),4.7,346,Pizza比薩美式料理,3,1
866,壹號出口,4.7,175,三明治美式料理,2,1
867,LoveatFirstBiteBakeryCafe',4.5,416,三明治甜點飲料美式料理,2,2
869,紫牛牛排,4.5,138,小吃美式料理,2,1
876,N.Y.BAGELSCAFE(台北仁愛店),4.6,116,小吃美式料理,2,1
877,CLOUD9CAFE,4.6,570,小吃美式料理,3,2
883,中崙牛排鐵板麵,4.3,116,小吃美式料理,1,3
885,牛魔王牛排(師大龍泉店),4.6,175,小吃美式料理,2,3
886,高三孝碳烤吐司(台北南昌總店),4.6,183,小吃美式料理,1,1
887,卡莉莎美式餐廳,4.6,79,小吃美式料理,3,3
889,YOLO'sCafe(台北總店),4.6,192,早餐美式料理,2,1
890,FULLBURGER絕佳早午餐,4.6,137,早餐美式料理,2,1
893,森林跑站,4.6,241,早餐美式料理,1,1
894,慶三號烤肉倉庫早午餐(中正金門店),4.8,171,早餐美式料理,2,2
896,拉亞漢堡(北市杭州店),4.6,407,早餐美式料理,1,3
897,弘爺漢堡(台北吳興店),4.7,763,早餐美式料理,1,2
899,肯德基(台北台大店),4.5,1280,炸雞美式料理,3,2
900,胖老爹美式炸雞(台北大安店),4.6,131,炸雞美式料理,3,2
901,肯德基(台北光復店),4.6,317,炸雞美式料理,3,3
902,胖老爹美式炸雞(台北東門店),4.5,674,炸雞美式料理,3,2
903,肯德基(台北莊敬店),4.6,1230,炸雞美式料理,3,3
904,胖老爹美式炸雞(台北中正重慶店),4.8,129,炸雞美式料理,3,2
905,肯德基(台北南昌店),4.5,203,炸雞美式料理,3,2
906,Dicos德克士脆皮炸雞(台北101店),4.5,3660,炸雞美式料理,3,1
907,胖老爹美式炸雞(市民大道八德店),4.5,764,炸雞美式料理,3,2
908,21PLUS、21風味館(台北時代門市),4.6,747,炸雞美式料理,3,1
909,Burgerout,4.8,197,炸雞美式料理,3,1
910,肯德基(台北中山店),4.7,541,炸雞美式料理,3,2
912,胖老爹美式炸雞(信義吳興店),4.8,187,炸雞美式料理,3,2
913,胖老爹美式炸雞(忠孝復興店),4.7,1263,炸雞飲料美式料理,3,2
914,胖老爹美式炸雞(台北中華店),4.6,565,炸雞飲料美式料理,3,2
918,大吉漢堡食堂,4.3,146,美式料理,2,2
919,MeetUpCAFE,4.6,111,美式料理,2,3
923,HalaChicken,4.6,97,美式料理,2,1
932,牛脾氣牛排(台北南機場店),4.6,113,美式料理,2,3
933,德相美式加州壽司,4.6,187,美式料理日韓,2,2
934,多加精緻早午餐,4.6,552,美式料理早餐,1,1
935,Haagen-Dazs哈根達斯(台北敦南店),4.7,88,美式料理甜點,3,1
937,KrispyKreme(信義威秀門市),4.6,591,美式料理甜點,3,3
938,KrispyKreme(微風南京門市),4.7,575,美式料理甜點,3,2
939,STARBUCKS星巴克(敦和門市),4.8,143,美式料理飲料,3,1
940,RunaCafes嚕娜咖啡(陽明覺民店),4.7,108,美式料理飲料,2,2
945,STARBUCKS星巴克(忠孝延吉門市),4.8,378,美式料理飲料,3,2
946,蜜蜂咖啡,4.5,115,美式料理飲料,2,2
953,賀運咖啡,4.6,217,美式料理飲料,3,2
955,點38咖啡店,4.7,80,美式料理飲料,1,2
957,YOLO'sCAFE(長安建國店),4.7,109,美式料理飲料,2,1
958,KGBKiwiGourmetBurgers,4.5,564,美式料理漢堡,3,2
959,"吃喝完,樂",4.7,2129,美式料理漢堡,3,1
960,SUBWAY(安居店),4.7,635,素食美式料理,1,2
961,SUBWAY(忠孝復興店),4.7,284,素食美式料理,1,3
962,Subway(台北松江南京店),4.7,922,素食美式料理,2,3
963,SUBWAY(復興和平店),4.6,383,素食美式料理,3,3
964,SUBWAY(師大店),4.8,490,素食美式料理,2,2
965,SUBWAY(濟南新生店),4.7,539,素食美式料理,3,2
967,淘客美式漢堡(台北公館店),4.7,355,飲料美式料理,3,1
968,OnewayCAFE玩味咖啡,4.3,93,飲料美式料理,2,2
972,JambaJuice(信義威秀店),4.7,91,飲料美式料理,1,1
973,紐澳良小廚(台北林森店),4.5,84,飲料美式料理,3,3
978,紐澳良小廚(台北象山店),4.6,85,飲料美式料理,2,3
979,CAFEBANANA芭娜娜咖啡,4.7,511,飲料美式料理,2,1
980,麥當勞(S144忠孝五店),4.6,1890,漢堡mcd300美式料理,3,2
981,麥味登(台北公館店),4.6,135,漢堡美式料理,1,2
982,BurgerKing漢堡王(台北公館店),4.6,1019,漢堡美式料理,2,1
983,OXOX創意漢堡,4.6,84,漢堡美式料理,2,1
984,BurgerKing漢堡王(台北新師大店),4.7,1047,漢堡美式料理,3,1
985,LightBistro路燈咖啡(台北師大店),4.7,117,漢堡美式料理,2,1
986,茉莉漢堡(台北大安店),4.6,1338,漢堡美式料理,2,2
992,SUBWAY(忠孝延吉店),4.7,163,漢堡美式料理,3,2
994,Chili'sGrill&Bar(台北信義店),4.4,1231,漢堡美式料理,3,3
995,BurgerKing漢堡王(台北華納店),4.6,1842,漢堡美式料理,1,1
996,森漢堡,4.6,219,漢堡美式料理,2,1
1000,麥當勞(S6台北光復店),4.3,156,漢堡麥當勞美式料理,3,3
1001,TwinkeyzTacos塔卡老爹,4.3,235,黎巴嫩料理美式料理,2,2
1009,曼德樂雲泰料理,4.4,377,小吃東南亞,3,1
1012,雲南小鎮(台北師大店),4.3,149,小吃東南亞,3,2
1013,泰鴻泰式料理,4.4,1220,小吃東南亞,2,3
1014,云滇雲南過橋米線(台北忠孝店),4.6,1815,小吃東南亞,1,1
1016,云滇雲南過橋米線(台北光復店),4.6,2317,小吃東南亞,1,2
1017,CYCLO洛城牛肉粉(台北仁愛店),4.6,440,小吃東南亞,2,1
1018,瘦仔林叻沙,4.2,98,小吃東南亞,2,1
1019,油條黃金牛肉粉PHO(台北南海店),4.3,165,小吃東南亞,3,2
1021,萬中肉骨茶,4.5,256,小吃東南亞,2,2
1022,黃亞細肉骨茶(台北信義店),4.5,620,小吃東南亞,1,2
1025,駭味沙威瑪,4.2,80,小吃東南亞,3,2
1026,越蓮料理坊,4.3,246,小吃東南亞,2,3
1027,BOSS沙威瑪(台北臨江店),4.5,153,小吃東南亞,2,2
1029,356越南牛肉河粉,4.2,273,小吃東南亞,2,1
1030,小英北越河粉,4.4,807,小吃東南亞,1,2
1035,香米泰國料理,4.6,460,咖哩東南亞,3,2
1036,泰傳統,4.5,121,東南亞,1,3
1046,瓏香麵食館越南美食,4.4,142,東南亞麵類,3,3
1047,賢記麵疙瘩,4.5,135,東南亞麵類,2,3
1048,曼谷燒,4.6,288,便當東南亞,2,2
1049,印渡風情OutofIndia(師大一店),4.6,668,便當東南亞,3,3
1050,泰好吃南洋料理,4.3,269,便當東南亞,3,2
1051,信基泰式廚房,4.5,123,便當東南亞,1,1
1053,翠薪越南餐廳,4.6,144,麵類東南亞,2,2
1054,翠林越南餐廳,4.3,182,麵類東南亞,3,2
1055,雲泰滇緬泰式料理,4.4,254,麵類東南亞,1,3
1059,初宅ONEHOUSE,4.7,115,Pizza比薩其他歐系料理,3,1
1061,佬披薩,4.6,143,Pizza比薩其他歐系料理,2,1
1066,來塊披薩專門店,4.6,465,Pizza比薩其他歐系料理,1,1
1068,YOJIPIZZA祐吉披薩,4.4,131,Pizza比薩其他歐系料理,1,3
1069,慢慢Bistro,4.5,87,Pizza比薩其他歐系料理,2,3
1070,Wendel'sGermanBakery&Bistro溫德德式烘焙餐館(台北大安店),4.6,622,Pizza比薩其他歐系料理,2,2
1071,瑪莉珍披薩MaryjanePizza(台北信義店),4.5,110,Pizza比薩其他歐系料理,2,3
1073,ZocaPizza佐佧比薩,4.6,1220,Pizza比薩其他歐系料理,2,2
1074,Jn'F義大利麵,4.5,95,Pizza比薩其他歐系料理,1,2
1075,Mr.PacoPizzeria,4.3,421,Pizza比薩其他歐系料理,2,2
1076,MR.BIGPIZZA,4.5,125,Pizza比薩其他歐系料理,1,1
1077,夠義式義大利麵(台北中華店),4.6,359,Pizza比薩其他歐系料理,2,3
1078,11Pasta,4.6,263,Pizza比薩其他歐系料理,3,2
1079,福嗑古巴三明治,4.6,109,三明治其他歐系料理,1,2
1084,Nala'sMexicanFood,4.3,291,小吃其他歐系料理,2,2
1086,CAMPUSCAFE(台北光復店),4.6,191,小吃其他歐系料理,3,2
1092,Su/food(復興北店),4.6,106,小吃其他歐系料理,1,2
1095,GRABABITE幸福提食,4.6,114,早餐其他歐系料理,3,1
1096,101鬆餅,4.5,340,早餐其他歐系料理美式料理飲料甜點,2,2
1097,麵工坊(公館JR店),4.6,323,其他歐系料理,2,2
1102,Snail蝸牛義大利餐廳(台北敦化店),4.4,180,其他歐系料理,1,2
1105,Tino'sPizzaCafe堤諾比薩(台北莊敬店),4.5,109,其他歐系料理,3,1
1107,65義大利麵,4.5,406,其他歐系料理,2,2
1117,樂子theDiner(台北瑞安店),4.6,975,其他歐系料理美式料理,3,2
1118,法式修頌．可頌專賣店,4.6,190,其他歐系料理甜點,2,3
1124,OutingCafe’&Bar,4.6,136,其他歐系料理飲料,1,2
1125,I'mPasta(台北和平店),4.4,404,其他歐系料理麵類,1,2
1126,威布好食,4.7,417,美式料理其他歐系料理,3,1
1127,SPlus,4.5,117,甜點其他歐系料理,2,2
1132,SoulR.VeganCafe靈魂餐廳,4.5,122,飲料其他歐系料理,2,1
1133,JC'sCafe,4.6,250,飲料其他歐系料理,3,2
1134,咖啡弄(台北忠孝店),4.6,500,飲料其他歐系料理,1,3
1135,瘦達人健康料理,4.5,164,飲料其他歐系料理,1,2
1137,MishaCaffeXPizzeria,4.2,169,麵類Pizza比薩其他歐系料理,2,3
1141,麵工坊MGFPasta(台北大安店),4.5,321,麵類其他歐系料理,1,2
1142,米克諾斯,4.3,79,麵類其他歐系料理,3,2
1145,希臘左巴(台北永康店),4.3,103,麵類其他歐系料理,2,3
1146,MigaKitchenPasta米家廚房,4.5,150,麵類其他歐系料理,2,3
1148,創義麵(台北信義店),4.6,2295,麵類其他歐系料理,1,1
1149,fungether,4.6,253,麵類其他歐系料理,3,1
1151,I'mPasta(台北光華店),4.4,542,麵類其他歐系料理,2,1
1153,BELLINIPastaPasta(台北信義威秀店),4.5,1427,麵類其他歐系料理,2,1
1154,一直是晴天(台北松菸店),4.3,80,麵類其他歐系料理,3,3
1155,麵工坊MGFPasta(台北市府店),4.4,666,麵類其他歐系料理,2,2
1158,義麵屋SpaghettiHouse,4.6,119,麵類其他歐系料理,1,2
1159,肥特蓋斯,4.6,132,麵類其他歐系料理,3,2
1160,BotegadelVin,4.6,152,麵類其他歐系料理,2,3
1165,瑪丘墨式餅舖MachoTacos(台北師大店),4.5,2424,小吃黎巴嫩料理,2,1
1166,瑪丘墨式餅舖MachoTacos(台北延吉店),4.6,4910,小吃黎巴嫩料理,1,3
1168,微想咖哩(台北吳興店),4.5,769,日韓黎巴嫩料理,2,3
1170,印度支那(誠品敦南店),4.3,232,百貨美食節黎巴嫩料理,2,2
1171,CurryForPeace,4.5,135,咖哩飲料黎巴嫩料理,1,1
1173,馬友友印度廚房(MIK-6)(台北松江店),4.6,167,咖哩黎巴嫩料理,1,3
1174,誠記食堂(台北永康店),4.6,3162,黎巴嫩料理,3,2
1175,奪愛印度咖哩(台北仁愛店),4.2,337,黎巴嫩料理,2,2
1176,馬友友印度廚房(MIK-8)(台北忠孝店),4.4,474,黎巴嫩料理,2,1
1177,東央貢。泰食堂(忠孝店),4.3,358,黎巴嫩料理,2,1
1181,馬友友印度廚房(MIK-1)(台北信義店),4.3,499,黎巴嫩料理東南亞,1,2
1203,春陽茶事(台北信義大安店),4.6,114,飲料,2,1
1205,小茶齋(台北通化店),4.7,132,飲料,2,2
1208,天仁茗茶(台北通化街店),4.7,100,飲料,1,1
1210,清心福全(台北大安店),4.8,86,飲料,3,3
1211,50嵐(大安店),4.8,273,飲料,1,3
1213,清心福全(台北金山南店),4.8,121,飲料,3,2
1218,日日裝茶(中正南門店),4.8,104,飲料,2,3
1221,50嵐(新生店),4.8,203,飲料,1,1
1222,清心福全(台北中正泉州店),4.8,163,飲料,3,1
1237,清心福全(忠孝SOGO店),4.8,339,飲料,2,1
1239,清心福全(信義松仁店),4.8,333,飲料,1,2
1243,Lattice拉堤斯．比利時列日鬆餅,4.7,122,飲料,2,1
1257,甘蔗媽媽(台北古亭店),4.7,83,飲料,3,2
1258,唐棉(台北古亭店),4.7,275,飲料,1,3
1267,金魚健康果昔,4.7,118,飲料,2,2
1270,IsaacToast&Coffee(台北光復店),4.8,3314,三明治飲料,2,1
1272,85度C(台北和平東店),4.7,590,甜點飲料,1,3
1273,麗采蝶茶館,4.7,191,甜點飲料,2,3
1274,祕密花園白木耳露專賣店,4.6,213,甜點飲料,1,2
1275,旅沐咖啡(台北通安店),4.6,77,甜點飲料,2,3
1276,利美水果專門店,4.5,110,甜點飲料,1,3
1277,85度C(信義通化店),4.8,226,甜點飲料,1,3
1278,THENORMAL,4.8,125,甜點飲料,2,3
1279,85度C(台北莊敬店),4.7,226,甜點飲料,1,3
1280,黑沃咖啡(台北復興店),4.8,240,甜點飲料,2,3
1282,新醋感chuchubar,4.6,87,甜點飲料,2,3
1286,黑沃咖啡(台北市府店),4.6,116,甜點飲料,3,3
1287,三兄妹(台北臨江店),4.6,181,甜點飲料,2,3
1293,楊婆婆八寶粥,4.7,670,粥&湯飲料甜點,1,2
1294,小木屋鬆餅(台北師大店),4.6,1198,飲料甜點,1,3
1295,豆穌朋Cafe(台北師大店),4.9,96,飲料甜點,2,3
1297,Together,4.6,76,飲料甜點,2,2
1298,Chocoholic巧克哈客(台北永康店),4.8,85,飲料甜點,2,3
1299,冰山一角甜品屋,4.4,447,飲料甜點,3,3
1301,梁記豆花(台北安東店),4.4,154,飲料甜點,1,2
1302,同心圓水晶紅豆餅,4.7,1361,飲料甜點,1,2
1308,不貳光車輪餅(台北延吉店),4.5,285,飲料甜點,1,3
1311,聖保羅烘焙花園(台北大安店),4.6,211,小吃甜點,1,2
1313,好想吃冰kakibing/日式蔬食(台大公館店),4.5,114,便當甜點,2,2
1322,昇冠泰式雞排,4.4,689,小吃,3,3
1328,一嘉一素食園,4.7,771,小吃素食,1,2
1329,麵食主義,4.6,95,麵類,2,3
1333,綠原品健康蔬食(台北松山店),4.7,1248,便當素食,1,2
1334,ZACZAG一樂炸雞,4.6,1241,炸雞,3,1
1335,PELICANA百力佳納韓式炸雞,4.3,198,炸雞,3,1
